34,54,0,0,0,6.93,270,17,260,23.04,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
28,35.1,0.8,0,0,5.82,90,12.97,90,17,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
30.9,46.9,0,0,0,6.49,290,19.91,310,25.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,64,0,0,0,11.41,230,19.91,230,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.9,39.9,0,0,0,7.83,270,17.9,280,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,50,0,0,0,6.93,280,17,280,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.1,48.9,0,0,0,7.38,330,19.91,330,29.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,48.9,0,0,0,4.25,240,14.09,350,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,57.9,0,0,0,3.58,310,14.99,320,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,57,0.01,0,0,2.46,360,16.11,290,25.95,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46.9,72,0,0,0,7.61,360,19.91,320,29.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.1,80.1,0,0,0,6.49,300,17.9,290,25.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,90,0,0,0,8.72,230,14.99,230,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.1,84,0.02,0,0,13.87,230,23.94,230,29.08,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
48.9,70,0,0,0,7.83,30,16.11,40,21.92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69.1,93,0,0,0,7.38,230,21.03,220,23.94,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,86,0,0,0,6.93,30,17,70,21.92,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.9,89.1,0,0,0,9.17,200,16.11,210,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.9,90,0,0,0,7.38,230,14.99,230,17.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
70,91.9,0,0,0,8.05,230,16.11,210,19.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66.9,89.1,0,0,0,4.25,160,16.11,150,19.91,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78.1,104,0,0,0,4.25,120,23.04,90,25.95,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
75,102.9,0,0,0,10.51,230,19.91,230,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,98.1,0.06,0,0,6.04,10,21.03,10,29.97,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
73,93,0,0,0,6.49,100,12.08,150,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,91,0,0,0,3.36,90,10.07,130,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,96.1,0,0,0,4.25,170,10.07,170,17.9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60.1,95,0,0,0,3.58,20,12.08,10,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,82,0,0,0,5.59,50,16.11,360,21.92,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66,91.9,0,0,0,4.47,110,12.97,80,17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
64.9,86,0,0,0,5.59,50,12.08,50,14.99,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,89.1,0,0,0,5.82,170,12.08,170,14.99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,93.9,0,0,0,4.7,270,10.07,300,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
